COD_DEPT;COD_SP;LIB_SP
001;001;AGBOVILLE
001;002;AZAGUIE
001;003;RUBINO
001;004;GRAND-MORIE
001;005;ORESS-KROBOU
001;006;CECHI
001;007;ABOUDE
001;008;ANANGUIE
001;009;ATTOBROU
001;010;GUESSIGUIE
001;011;LOVIGUIE
002;001;GOMON
002;002;SIKENSI
003;002;TIASSALE
003;003;GBOLOUVILLE(ex BINA-BOUS)
003;004;MOROKRO
003;005;NDOUCI
004;001;BOOKO
004;002;BOROTOU
004;006;KORO
004;007;MAHANDOUGOU
004;008;NIOKOSSO
005;005;KOONAN
005;007;OUANINOU
005;008;GBELO
005;009;GOUEKAN
005;010;SABOUDOUGOU
005;011;SANTA
006;003;FOUNGBESSO
006;004;GUINTEGUELA
006;008;TOUBA
006;009;DIOMAN
007;001;BOUNDIALI
007;003;KASSERE
007;004;BAYA
007;005;GANAONI
007;006;SIEMPURGO
008;002;GBON
008;004;KOLIA
008;005;KOUTO
008;006;BLESSEGUE
008;007;SIANHALA
009;001;KANAKONO
009;002;TENGRELA
009;003;DEBETE
009;004;PAPARA
010;002;DIDIEVI
010;003;TIE-NDIEKRO
010;004;BOLI
010;005;MOLONOU-BLE
010;006;RAVIART
011;001;TIEBISSOU
011;002;LOMOKANKRO
011;003;MOLONOU
011;004;YAKPABO-SAKASSOU
012;001;ANGONDA
012;003;KOKUMBO
012;004;KPOUEBO
012;005;TOUMODI
013;004;MANKONO
013;005;MARANDALLAH
013;006;SARHALA
013;007;TIENINGBOUE
013;008;BOUANDOUGOU
014;002;KONGASSO
014;003;KOUNAHIRI
015;001;BOUNA
015;002;BOUKO
015;003;ONDEFIDOUO
015;004;YOUNDOUO
016;002;DOROPO
016;003;DANOA
016;004;KALAMON
016;005;NIAMOUE
017;003;NASSIAN
017;004;BOGOFA
017;006;KOTOUBA
017;007;SOMINASSE
018;004;TEHINI
018;005;GOGO
018;006;TOUGBO
019;001;BLOLEQUIN
019;002;DIBOKE
019;003;DOKE
019;004;TINHOU
019;005;ZEAGLO
020;001;GUIGLO
020;002;BEDY-GOAZON
020;003;KAADE
020;004;NIZAHON
021;001;BAKOUBLY
021;002;PEHE
021;003;TIOBLY
021;004;TOULEPLEU
021;005;MEO
021;006;NEZOBLY
022;001;ABIDJAN
022;002;ANYAMA
022;003;BINGERVILLE
022;004;SONGON
022;005;BROFODOUME
023;001;ATTIEGOUAKRO
023;002;LOLOBO
024;004;YAMOUSSOUKRO
024;005;KOSSOU
025;003;GOULIA
025;004;KANIASSO
025;005;MAHANDIANA-SOKOURANI
026;006;MINIGNAN
026;012;TIENKO
026;014;KIMBIRILA-NORD
026;015;SOKORO
027;001;BEOUMI
027;002;BODOKRO
027;004;KONDROBO
027;005;ANDO-KEKRENOU
027;006;LOLOBO
027;007;NGUESSANKRO
027;008;MARABADJASSA
028;001;BOTRO
028;004;DIABO
028;006;LANGUIBONOU
028;007;KROFOINSOU
029;002;BOUAKE
029;003;BROBO
029;005;DJEBONOUA
029;006;BOUNDA
029;007;MAMINI
030;001;SAKASSOU
030;002;TOUMODI-SAKASSOU
030;003;AYAOU-SRAN
030;004;DIBRI-ASRIKRO
031;002;SASSANDRA
031;003;SAGO
031;004;DAKPADOU
031;005;GRIHIRI
031;006;LOBAKUYA
031;007;MEDON
032;002;FRESCO
032;003;DAHIRI
032;004;GBAGBAM
033;001;GAGNOA
033;002;GNAGBODOUGNOA
033;003;GUIBEROUA
033;004;OURAGAHIO
033;005;BAYOTA
033;006;DAHIEPA-KEHI
033;007;DIGNAGO
033;008;DOUGROUPALEGNOA
033;009;DOUKOUYO
033;010;GALEBOUO
033;011;SERIHIO
033;012;YOPOHUE
034;001;DIEGONEFLA
034;002;OUME
034;003;GUEPAHOUO
034;004;TONLA
035;001;BONDOUKOU
035;002;GOUMERE
035;004;SAPLI-SEPINGO
035;005;SOROBANGO
035;006;TABAGNE
035;007;APPIMANDOUM
035;008;BONDO
035;009;LAOUDI-BA
035;010;PINDA-BOROKRO
035;011;TAGADI
035;012;TAOUDI
035;013;YEZIMALA
036;001;KOUN-FAO
036;002;KOUASSI-DATEKRO
036;003;TANKESSE
036;004;BOAHIA
036;005;KOKOMIAN
036;006;TIENKOIKRO
037;003;SANDEGUE
037;004;BANDAKAGNI-TOMORA
037;005;DIMANDOUGOU
037;006;YOROBODI
038;004;TANDA
038;005;AMANVI
038;006;DIAMBA
038;007;TCHEDIO
039;001;ASSUEFRY
039;006;TRANSUA
039;007;KOUASSIA-NIAGUINI
040;001;DABOU
040;002;LOPOU
040;003;TOUPAH
041;001;AHOUANOU
041;002;BACANDA
041;003;EBONOU
041;004;GRAND-LAHOU
041;005;TOUKOUZOU
042;001;ATTOUTOU
042;002;JACQUEVILLE
043;001;BANGOLO
043;002;DIEOUZON
043;003;ZEO
043;004;ZOU
043;005;BEOUE-ZIBIAO
043;006;BLENIMEOUIN
043;007;GOHOUO-ZAGNA
043;008;GUINGLO-TAHOUAKE
043;009;KAHIN-ZARABAON
044;001;BAGOHOUO
044;002;DUEKOUE
044;003;GBAPLEU
044;004;GUEHIEBLY
044;005;GUEZON
045;002;KOUIBLY
045;005;NIDROU
045;008;TOTRODROU
045;011;OUYABLY-GNONDROU
046;001;BASSAWA
046;002;BONIEREDOUGOU
046;003;DABAKALA
046;004;FOUMBOLO
046;005;SATAMA-SOKORO
046;006;SATAMA-SOKOURA
046;007;SOKALA-SOBARA
046;008;TENDENE-BAMBARASSO
046;009;YAOSSEDOUGOU
046;010;NIEMENE
047;001;FRONAN
047;002;KATIOLA
047;005;TIMBE
048;003;NIAKARAMADOUGOU
048;004;TAFIRE
048;006;TORTIYA
048;007;ARIKOKAHA
048;008;BADIKAHA
048;009;NIEDEKAHA
049;001;BEDIALA
049;002;DALOA
049;003;GADOUAN
049;004;GBOGUHE
049;005;ZAIBO
049;006;GONATE
050;001;BOGUEDIA
050;002;IBOGUHE
050;003;ISSIA
050;004;SAIOUA
050;005;NAHIO
050;006;NAMANE
050;007;TAPEGUIA
051;001;DANIA
051;002;SEITIFLA
051;003;VAVOUA
051;004;BAZRA NATTIS
051;005;DANANON
051;006;KETRO BASSAM
052;006;ZOUKOUGBEU
052;007;DOMANGBEU
052;008;GREGBEU
052;009;GUESSABO
053;001;DAOUKRO
053;002;ETTROKRO
053;003;OUELLE
053;004;AKPASSANOU
053;005;ANANDA
053;006;NGATTAKRO
053;007;SAMANZA
054;001;BONGUERA
054;003;MBAHIAKRO
054;004;KONDOSSOU
055;002;KOFFI-AMONKRO
055;004;PRIKRO
055;005;ANIANOU
055;006;FAMIENKRO
055;007;NAFANA
056;001;ABENGOUROU
056;003;NIABLE
056;004;AMELEKIA
056;005;ANIASSUE
056;006;EBILASSOKRO
056;007;YAKASSE-FEYASSE
056;008;ZARANOU
057;001;AGNIBILEKROU
057;002;AKOBOISSUE
057;003;DAME
057;004;DUFFREBO
057;005;TANGUELAN
058;002;BETTIE
058;003;DIAMARAKRO
059;005;MADINANI
059;010;FENGOLO
059;012;NGOLOBLASSO
060;001;BAKO
060;002;DIOULATIEDOUGOU
060;007;ODIENNE
060;011;TIEME
060;014;BOUGOUSSO
061;008;SAMATIGUILA
061;009;KIMBIRILA-SUD
062;001;DIVO
062;004;HIRE
062;005;CHIEPO
062;006;DIDOKO
062;007;NEBO
062;008;OGOUDOU
062;009;ZEGO
063;003;GUITRY
063;005;YOCOBOUE
063;006;DAIRO-DIDIZO
063;007;LAUZOUA
064;001;LAKOTA
064;002;ZIKISSO
064;003;NIAMBEZARIA
064;004;DJIDJI
064;005;GAGORE
064;006;GOUDOUKO
065;001;BONON
065;002;BOUAFLE
065;003;BEGBESSOU
065;004;NDOUFFOUKANKRO
065;005;TIBEITA
065;006;ZAGUIETA
065;007;PAKOUABO
066;001;SINFRA
066;002;BAZRE
066;003;KONONFLA
066;004;KOUETINFLA
067;001;GOHITAFLA
067;002;ZUENOULA
067;003;IRIEFLA
067;004;KANZRA
067;005;MAMINIGUI
067;006;VOUEBOUFLA
067;007;ZANZRA
068;001;ADZOPE
068;003;AGOU
068;005;ASSIKOI
068;006;BECEDI-BRIGNAN
068;007;ANNEPE
068;008;YAKASSE-ME
069;002;AFFERY
069;004;AKOUPE
069;005;BECOUEFIN
070;001;ALEPE
070;002;OGHLWAPO
070;003;ABOISSO-COMOE
070;004;ALLOSSO
070;005;DANGUIRA
071;007;YAKASSE-ATTOBROU
071;008;ABONGOUA
071;009;BIEBY
072;001;GUEYO
072;002;DABOUYO
073;002;GRAND-ZATTRY
073;004;SOUBRE
073;005;OKROUYO
073;008;LILIYO
073;009;MAYO
074;002;ARRAH
074;003;KOTOBI
074;004;KREGBE
075;001;BOCANDA
075;003;BENGASSOU
075;004;KOUADIOBLEKRO
075;005;NZECREZESSOU
076;003;BONGOUANOU
076;004;ANDE
076;005;ASSIE-KOUMASSI
076;006;NGUESSANKRO
077;001;DIMBOKRO
077;002;ABIGUI
077;003;DIANGOKRO
077;004;NOFOU
078;001;ANOUMABA
078;004;MBATTO
078;005;TIEMELEKRO
078;006;ASSAHARA
079;001;DIKODOUGOU
079;002;GUIEMBE
079;003;BORON
080;003;KARAKORO
080;004;KOMBORODOUGOU
080;005;KORHOGO
080;007;NAPIELEDOUGOU
080;008;NIOFOIN
080;010;SIRASSO
080;011;TIORONIARADOUGOU
080;013;DASSOUNGBOHO
080;014;KANOROBA
080;017;KIEMOU
080;018;KOMBOLOKOURA
080;019;KONI
080;020;LATAHA
080;021;NAFOUN
080;022;SOHOUO
080;023;NGANON
081;009;SINEMATIALI
081;010;KAGBOLODOUGOU
081;011;SIDIOGO
081;017;BAHOUAKAHA
082;001;GRAND-BEREBY
082;002;SAN-PEDRO
082;003;DOBA
082;004;DOGBO
082;005;GABIADJI
083;001;GRABO
083;002;TABOU
083;003;DAPO-IBOKE
083;004;DJAMANDIOKE
083;005;DJOUROUTOU
083;006;OLODIO
084;001;ABOISSO
084;002;AYAME
084;003;BIANOUAN
084;004;MAFERE
084;005;ADAOU
084;006;ADJOUAN
084;007;KOUAKRO
084;008;YAOU
085;001;ADIAKE
085;002;ASSINIE-MAFIA
085;003;ETUEBOUE
086;001;BONOUA
086;002;GRAND-BASSAM
086;003;BONGO
087;004;TIAPOUM
087;005;NOE
087;006;NOUAMOU
088;002;FERKESSEDOUGOU
088;004;KOUMBALA
088;007;TOGONIERE
089;001;DIAWALA
089;005;NIELLE
089;006;OUANGOLODOUGOU
089;007;KAOUARA
089;008;TOUMOUKORO
090;001;BIANKOUMA
090;002;GBONNE
090;004;BLAPLEU
090;005;GBANGBEGOUINE
090;006;GOUINE
090;007;KPATA
090;008;SANTA
091;002;DANANE
091;003;MAHAPLEU
091;004;DALEU
091;005;GBON-HOUYE
091;006;KOUAN-HOULE
091;007;SEILEU
091;008;ZONNEU
092;003;LOGOUALE
092;004;MAN
092;006;SANGOUINE
092;007;BOGOUINE
092;008;FAGNAMPLEU
092;009;GBANGBEGOUINE-YATI
092;010;PODIAGOUINE
092;011;SANDOUGOU-SOBA
092;012;YAPLEU
092;013;ZAGOUE
092;014;ZIOGOUINE
093;001;BIN-HOUYE
093;004;ZOUAN-HOUNIEN
093;005;BANNEU
093;006;GOULALEU
093;007;TEAPLEU
093;008;YELLEU
094;001;DJIBROSSO
094;003;KANI
094;005;MORONDO
094;006;FADIADOUGOU
095;002;DUALLA
095;004;MASSALA
095;006;SEGUELA
095;007;SIFIE
095;008;WOROFLA
095;009;BOBI
095;010;KAMALO
095;011;DIARABANA
096;002;DJEKANOU
097;003;KONG
097;005;BILIMONO
097;006;SIKOLO
097;007;NAFANA
098;002;KOUASSI-KOUASSIKRO
098;003;MEKRO
099;003;MEAGUI
099;007;GNAMANGUI
099;009;OUPOYO
100;001;BUYO
100;006;DAPEOUA
101;006;MBENGUE
101;012;BOUGOU
101;015;KATIALI
101;016;KATOGO
102;001;FACOBLY
102;007;SEMIEN
102;009;GUEZON
102;010;KOUA
102;012;TIENY-SEABLY
103;001;DIANRA
103;009;DIANRA-VILLAGE
104;001;TAABO
104;002;PACOBO
105;010;SEYDOUGOU
105;013;GBELEBAN
105;016;SAMANGO
106;009;SEGUELON
106;011;GBONGAHA
107;003;SIPILOU
107;009;YORODOUGOU
108;001;TAI
108;002;ZAGNE
999;001;AFRIQUE
999;002;AMERIQUE
999;003;EUROPE
